main_category,subcategory,master_name,review_amount,rating,size,details,True to size (size_ag),Too Big (size_ag),Small (size_ag),Too Small (size_ag),Not specified (size_ag),Big (size_ag),Not specified (experience),Quality (experience),Stylish (experience),Comfortable (experience),Verified Buyer,Verified Reviewer,Unverified
Woman's,Womens-platforms,Soren,0,,,3 inch heel height; Suede upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman's,Womens-platforms,Mystery,19,4.7,True to size,"3.25 inch heel height; 1 inch platform; Size 6 measurements: 14 inch shaft circumference, 14.25 inch shaft height; Size 8 measurements: 15.5 inch shaft circumference, 15 inch shaft height; Size 10 measurements: 16 inch shaft circumference, 15.5 inch shaft height; Leather upper material; Textile and synthetic lining; Synthetic sock; Synthetic sole; Imported",12.0,1.0,0.0,0.0,6.0,0.0,19.0,0.0,0.0,0.0,15.0,1.0,3.0
Woman's,Womens-platforms,Mellow,22,3.9,Small,"2 inch heel height; Suede upper material; Textile lining; Synthetic sock; Synthetic sole.; Fit tip: If you are in between sizes, size up a half-size; Imported",8.0,2.0,2.0,7.0,2.0,1.0,21.0,1.0,1.0,0.0,18.0,1.0,3.0
Woman's,Womens-platforms,Dutton,0,,,"3.5 inch heel height; 1 inch platform; Suede upper material; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman's,Womens-platforms,Fuse,5,4.8,True to size,2 inch heel height; Suede upper material; Textile and synthetic lining; Synthetic sock; Synthetic sole; Imported,3.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,3.0,0.0,2.0
Woman's,Womens-platforms,Supercampl,0,,,"1.5 inch heel height; Leather, suede, and synthetic upper material; Textile lining; Synthetic sock; Synthetic sole; Imported",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman's,Womens-platforms,Escape,0,,,1.75 inch heel height; Synthetic raffia upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman's,Womens-platforms,Encino,3,4.3,True to size,4 inch heel height; 1.5 inch platform; Suede upper material; Leather lining; Leather sock; Synthetic sole; Imported,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0
Woman's,Womens-platforms,Pippa,1,5.0,True to size,"3.75 inch heel height; 1 inch platform; Leather upper material; Synthetic lining; Leather sock; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Woman's,Womens-platforms,Avendra,0,,,"1.75 inch heel height; Textile upper material; Leather lining; Leather sock; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman's,Womens-platforms,Rubble,2,5.0,True to size,"4 inch heel height; 1.5 inch platform; Leather upper mateiral; Leather lining; Leather sock; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0
