feature,importance
month,0.0035104336250104612
rating,0.07982093700870635
discount_percent,0.09072108323294448
ad_status,0.13321965103937697
holiday_event,0.14047136090255494
weekday,0.16149417656280632
avg_price,0.39076235762860045
