,detected_aspects,Negative,Neutral,Positive,Negative_%,Neutral_%,Positive_%
0,comfort,53,55,950,5.00945179584121,5.198487712665406,89.79206049149339
1,delivery,3,4,40,6.382978723404255,8.51063829787234,85.1063829787234
2,price_and_value,4,7,96,3.7383177570093453,6.5420560747663545,89.7196261682243
3,quality_and_material,12,17,252,4.270462633451958,6.049822064056939,89.6797153024911
4,size_and_fit,76,108,819,7.577268195413758,10.767696909272182,81.65503489531406
5,style_and_appearance,75,95,1141,5.720823798627003,7.246376811594203,87.03279938977879
6,wearability,52,47,578,7.680945347119645,6.942392909896602,85.37666174298376
